Sites,Locality Number,Environment,Typothorax,Mawsoniidae,Rauisuchidae,Arganodus,Chindesaurus,Anaschisma,Apachesaurus,Shuvosauridae,Paratypothorax,Lasalichthyes,Turseodus,Trilophosauridae,Vancleavea,Reticulodus,Machaeroprosopus,Crocodylomorpha,Revueltosaurus,Coelophysoidea,Rioarribasuchus,Acrodus,Sphenodontidae,Lissodus,Drepanosauridae,Herrerasauridae,Tanystropheidae,Poposauridae
27,PFV 277,"""Terrestrial""",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,PFV 290,"""Terrestrial""",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,PFV 297,"""Terrestrial""",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,PFV 302,"""Terrestrial""",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,PFV 354,"""Terrestrial""",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,PFV 376,"""Aquatic""",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,PFV 405,"""Terrestrial""",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,PFV 415,"""Terrestrial""",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,PFV 451,"""Terrestrial""",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,PFV 453,"""Terrestrial""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,PFV 455,"""Terrestrial""",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,PFV 475,"""Terrestrial""",0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
